part_number,current_draw_mA,S11_dB,S21_dB,S12_dB,S22_dB,timestamp
LNA00312P1,87.0,-13.909,34.697,-55.109,-11.757,2026-07-14T13:26:22
LNA00304P1,86.0,-13.677,34.697,-47.714,-11.146,2026-07-14T13:26:59
LNA00305P1,85.0,-13.995,34.849,-47.709,-11.357,2026-07-14T13:27:53
LNA00306P1,81.0,-13.754,34.652,-46.601,-11.225,2026-07-14T13:28:26
LNA00308P2,86.0,-14.08,34.753,-50.91,-10.927,2026-07-14T13:29:23
LNA00312P2,83.0,-14.214,34.939,-44.458,-11.919,2026-07-14T13:30:09
LNA00311P2,82.0,-13.409,34.69,-44.926,-11.706,2026-07-14T13:30:45
LNA00310P2,83.0,-13.615,34.599,-44.049,-10.902,2026-07-14T13:31:29
LNA00309P2,82.0,-13.214,34.612,-43.032,-10.936,2026-07-14T13:32:12
LNA00307P2,86.0,-13.554,34.757,-47.406,-11.303,2026-07-14T13:32:52
LNA00306P2,82.0,-13.868,34.669,-62.467,-12.493,2026-07-14T13:33:29
LNA00305P2,86.0,-14.628,34.921,-50.885,-11.904,2026-07-14T13:34:08
LNA00304P2,84.0,-12.953,34.876,-48.719,-12.394,2026-07-14T13:34:49
LNA00303P2,83.0,-14.035,34.69,-44.941,-12.283,2026-07-14T13:35:29
LNA00302P2,83.0,-13.588,34.69,-49.782,-11.734,2026-07-14T13:36:07
LNA00301P2,86.0,-13.954,34.667,-43.039,-10.889,2026-07-14T13:37:01
LNA00319P1,82.0,-14.085,34.742,-45.49,-10.99,2026-07-14T13:41:25
LNA00319P2,83.0,-12.96,34.546,-43.437,-11.342,2026-07-14T13:43:35
LNA00313P1,84.0,-13.306,34.683,-40.838,-10.85,2026-07-14T13:44:12
LNA00320P1,85.0,-15.236,33.092,-44.921,-7.421,2026-07-14T13:44:52
LNA00320P2,87.0,-14.885,34.912,-45.029,-11.008,2026-07-14T13:45:38
LNA00314P1,82.0,-13.214,34.447,-54.437,-11.416,2026-07-14T13:46:21
LNA00321P1,81.0,-13.083,34.487,-45.366,-11.163,2026-07-14T13:47:06
LNA00321P2,81.0,-14.265,34.737,-54.859,-11.646,2026-07-14T13:47:37
LNA00315P1,82.0,-13.822,34.568,-47.712,-11.006,2026-07-14T13:48:17
LNA00322P1,80.0,-13.136,34.637,-52.939,-11.552,2026-07-14T13:48:49
LNA00316P1,83.0,-13.352,34.714,-46.133,-11.564,2026-07-14T13:49:27
LNA00323P1,82.0,-12.567,34.454,-46.83,-11.037,2026-07-14T13:50:08
LNA00317P1,85.0,-14.321,34.846,-50.598,-12.23,2026-07-14T13:50:40
LNA00324P1,82.0,-13.001,34.448,-46.55,-10.58,2026-07-14T13:51:13
LNA00313P2,84.0,-13.171,34.528,-46.113,-11.237,2026-07-14T13:51:44
LNA00318P1,85.0,-13.595,34.753,-41.647,-10.9,2026-07-14T13:52:30
LNA00314P2,87.0,-13.711,34.785,-47.327,-11.362,2026-07-14T13:53:13
LNA00315P2,82.0,-13.855,34.653,-47.373,-11.939,2026-07-14T13:53:54
LNA00322P2,85.0,-13.354,34.552,-55.432,-12.372,2026-07-14T13:54:26
LNA00316P2,80.0,-12.976,34.823,-43.452,-11.861,2026-07-14T13:55:26
LNA00323P2,85.0,-14.25,34.762,-42.236,-10.23,2026-07-14T13:56:00
LNA00317P2,86.0,-13.575,34.729,-60.853,-11.507,2026-07-14T13:56:38
LNA00324P2,85.0,-13.739,34.642,-50.359,-11.13,2026-07-14T13:57:17
LNA00318P2,84.0,-13.585,34.687,-44.878,-11.179,2026-07-14T13:57:56
LNA00331P2,82.0,-12.778,34.453,-47.384,-11.057,2026-07-14T14:20:31
LNA00326P2,82.0,-13.211,34.605,-45.318,-10.838,2026-07-14T14:21:08
LNA00350P2,81.0,-13.038,34.475,-44.94,-10.627,2026-07-14T14:21:53
LNA00337P2,83.0,-13.455,34.611,-48.708,-11.082,2026-07-14T14:22:33
LNA00325P2,87.0,-14.619,34.916,-53.501,-11.201,2026-07-14T14:23:24
LNA00246P1,84.0,-12.527,34.517,-43.336,-11.223,2026-07-14T14:25:12
LNA00346P2,82.0,-12.693,34.512,-51.079,-11.697,2026-07-14T14:26:11
LNA00348P1,85.0,-13.442,34.652,-50.071,-12.983,2026-07-14T14:26:44
LNA00338P2,84.0,-13.111,34.576,-47.777,-11.201,2026-07-14T14:27:22
LNA00339P2,84.0,-14.115,34.712,-55.033,-11.448,2026-07-14T14:27:58
LNA00343P2,86.0,-13.891,34.646,-45.822,-10.628,2026-07-14T14:28:48
LNA00332P2,86.0,-13.677,34.724,-45.699,-10.937,2026-07-14T14:29:27
LNA00344P2,84.0,-14.377,34.746,-52.59,-11.685,2026-07-14T14:30:03
LNA00333P2,87.0,-14.249,34.883,-44.185,-11.469,2026-07-14T14:30:50
LNA00347P2,83.0,-13.543,34.755,-41.431,-11.039,2026-07-14T14:31:24
LNA00349P2,82.0,-12.758,34.466,-48.68,-11.816,2026-07-14T14:31:56
LNA00340P2,84.0,-14.028,34.657,-47.443,-11.545,2026-07-14T14:32:41
LNA00348P2,83.0,-13.44,34.611,-45.706,-11.632,2026-07-14T14:33:31
LNA00341P2,82.0,-13.111,34.549,-49.374,-11.092,2026-07-14T14:34:15
LNA00325P1,84.0,-13.457,34.628,-48.237,-11.32,2026-07-14T14:35:12
LNA00342P2,81.0,-12.923,34.667,-43.336,-11.236,2026-07-14T14:36:06
LNA00331P1,82.0,-12.885,34.59,-45.365,-11.522,2026-07-14T14:36:40
LNA00337P1,85.0,-13.894,34.85,-48.457,-11.363,2026-07-14T14:37:37
LNA00334P2,81.0,-12.884,34.432,-46.661,-11.314,2026-07-14T14:38:19
LNA00345P2,84.0,-13.135,34.608,-45.386,-10.979,2026-07-14T14:38:54
LNA00327P2,82.0,-13.418,34.646,-45.555,-11.802,2026-07-14T14:39:38
